datetime,consumption_kWh
24-02-2023,"31,032.01"
25-02-2023,"32,640.80"
26-02-2023,"32,455.61"
27-02-2023,"28,967.96"
28-02-2023,"30,117.65"
01-03-2023,"29,446.56"
02-03-2023,"29,811.78"
03-03-2023,"32,868.66"
04-03-2023,"35,378.62"
05-03-2023,"35,034.15"
06-03-2023,"29,405.54"
07-03-2023,"29,815.57"
08-03-2023,"32,158.54"
09-03-2023,"28,034.60"
10-03-2023,"31,892.91"
11-03-2023,"32,760.67"
12-03-2023,"33,775.34"
13-03-2023,"31,432.05"
14-03-2023,"31,555.96"
15-03-2023,"28,918.93"
16-03-2023,"31,651.47"
17-03-2023,"33,044.47"
18-03-2023,"33,756.65"
19-03-2023,"35,791.71"
20-03-2023,"28,550.74"
21-03-2023,"30,648.11"
22-03-2023,"31,077.93"
23-03-2023,"29,769.20"
24-03-2023,"35,058.47"
25-03-2023,"35,903.31"
26-03-2023,"36,048.55"
27-03-2023,"32,023.31"
28-03-2023,"30,182.48"
29-03-2023,"30,698.73"
30-03-2023,"29,645.06"
31-03-2023,"32,556.92"
01-04-2023,"35,149.14"
02-04-2023,"33,765.70"
03-04-2023,"31,389.23"
04-04-2023,"30,921.14"
05-04-2023,"30,429.27"
06-04-2023,"30,405.37"
07-04-2023,"37,598.69"
08-04-2023,"37,433.65"
09-04-2023,"40,757.51"
10-04-2023,"31,132.06"
11-04-2023,"31,519.17"
12-04-2023,"29,512.44"
13-04-2023,"30,387.53"
14-04-2023,"34,472.66"
15-04-2023,"37,367.51"
16-04-2023,"33,675.45"
17-04-2023,"33,249.64"
18-04-2023,"29,314.09"
19-04-2023,"32,926.34"
20-04-2023,"33,041.84"
21-04-2023,"32,930.97"
22-04-2023,"37,539.17"
23-04-2023,"36,822.03"
24-04-2023,"31,023.45"
25-04-2023,"29,244.75"
26-04-2023,"30,636.67"
27-04-2023,"29,712.78"
28-04-2023,"32,781.12"
29-04-2023,"36,188.18"
30-04-2023,"36,049.80"
01-05-2023,"38,376.40"
02-05-2023,"31,158.60"
03-05-2023,"32,399.63"
04-05-2023,"31,435.78"
05-05-2023,"33,272.70"
06-05-2023,"33,183.67"
07-05-2023,"36,508.74"
08-05-2023,"30,618.33"
09-05-2023,"32,546.25"
10-05-2023,"30,360.25"
11-05-2023,"30,893.64"
12-05-2023,"34,948.32"
13-05-2023,"35,642.89"
14-05-2023,"36,417.76"
15-05-2023,"30,473.58"
16-05-2023,"33,499.68"
17-05-2023,"29,461.59"
18-05-2023,"29,942.85"
19-05-2023,"32,542.44"
20-05-2023,"35,123.76"
21-05-2023,"37,838.51"
22-05-2023,"29,197.41"
23-05-2023,"28,477.81"
24-05-2023,"31,057.02"
25-05-2023,"31,988.12"
26-05-2023,"34,159.10"
27-05-2023,"32,275.89"
28-05-2023,"35,336.89"
29-05-2023,"32,812.90"
30-05-2023,"28,508.25"
31-05-2023,"31,140.65"
01-06-2023,"30,774.85"
02-06-2023,"31,779.37"
03-06-2023,"42,402.15"
04-06-2023,"34,683.07"
05-06-2023,"31,100.39"
06-06-2023,"30,345.43"
07-06-2023,"29,450.95"
08-06-2023,"28,804.49"
09-06-2023,"41,605.99"
10-06-2023,"34,797.52"
11-06-2023,"34,733.96"
12-06-2023,"29,329.16"
13-06-2023,"28,284.77"
14-06-2023,"29,537.87"
15-06-2023,"30,421.64"
16-06-2023,"32,357.12"
17-06-2023,"34,030.54"
18-06-2023,"35,938.56"
19-06-2023,"29,734.86"
20-06-2023,"29,896.52"
21-06-2023,"29,848.71"
22-06-2023,"29,276.85"
23-06-2023,"30,019.70"
24-06-2023,"36,645.90"
25-06-2023,"35,767.50"
26-06-2023,"29,062.87"
27-06-2023,"28,973.65"
28-06-2023,"29,190.70"
29-06-2023,"31,107.87"
30-06-2023,"31,526.85"
01-07-2023,"32,058.85"
02-07-2023,"33,452.51"
03-07-2023,"29,086.73"
04-07-2023,"29,186.17"
05-07-2023,"31,390.15"
06-07-2023,"27,564.13"
07-07-2023,"31,742.47"
08-07-2023,"33,824.02"
09-07-2023,"36,015.81"
10-07-2023,"29,734.66"
11-07-2023,"27,208.14"
12-07-2023,"29,484.01"
13-07-2023,"29,989.87"
14-07-2023,"31,228.78"
15-07-2023,"32,112.26"
16-07-2023,"33,104.87"
17-07-2023,"27,508.23"
